#id: 3536693818
#name: H.sapiens - Brain (Integrated)
#score: 32.4
#coverage: 69
#description: integrated dataset: weighted average of all H.sapiens BRAIN: 32.4; Coverage: 69
#organ: BRAIN
#integrated: true
#weights: human_brain_Martens_2006_proteomics:0.251;PXD012101_Betz:0.251;PXD037133_brain_control:0.151;PXD012101_Purkinje:0.12;9606-PA_brain_201308:0.083;human_brain_atlas_201106:0.083;PXD020192_brain:0.031;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Brain:0.016;human_brain_PA_2015-1:0.007;Fetal_Brain_Kim_2014_SEQUEST:0.007;
#publication_year: 2026
#filename: 9606-BRAIN-integrated.txt
#
#gene_name	string_external_id	abundance
MBP	9606.ENSP00000380958	29343
HBB	9606.ENSP00000494175	24769
PLP1	9606.ENSP00000481006	23574
HBA2	9606.ENSP00000251595	19101
HBA1	9606.ENSP00000322421	19101
GFAP	9606.ENSP00000253408	17352
GAPDH	9606.ENSP00000380070	14932
CKB	9606.ENSP00000299198	12218
UCHL1	9606.ENSP00000284440	9317
CNP	9606.ENSP00000377470	8869
ALDOC	9606.ENSP00000378731	8444
HBD	9606.ENSP00000494708	8067
KRT1	9606.ENSP00000252244	8066
ACTG1	9606.ENSP00000458162	7639
TUBB2A	9606.ENSP00000369703	7511
TUBB4A	9606.ENSP00000264071	7422
ACTB	9606.ENSP00000494750	7419
TUBA1B	9606.ENSP00000336799	7163
TUBB4B	9606.ENSP00000341289	7046
TUBA1A	9606.ENSP00000439020	6925
TUBB2B	9606.ENSP00000259818	6841
KRT10	9606.ENSP00000269576	6552
TUBB	9606.ENSP00000339001	6383
TUBA4A	9606.ENSP00000248437	6094
KRT9	9606.ENSP00000246662	5572
YWHAZ	9606.ENSP00000379287	5435
TUBA1C	9606.ENSP00000443475	5149
ALB	9606.ENSP00000295897	5100
ATP5F1A	9606.ENSP00000381736	5086
DPYSL2	9606.ENSP00000427985	5063
TUBA3D	9606.ENSP00000326042	5021
TUBA3C	9606.ENSP00000382982	5021
ATP5F1B	9606.ENSP00000262030	4877
PPIA	9606.ENSP00000419425	4780
TUBA3E	9606.ENSP00000318197	4705
CRYAB	9606.ENSP00000433560	4665
YWHAE	9606.ENSP00000264335	4499
ACTBL2	9606.ENSP00000416706	4224
NEFL	9606.ENSP00000482169	4072
PEBP1	9606.ENSP00000261313	4014
TUBB3	9606.ENSP00000320295	4011
ENO2	9606.ENSP00000437402	3829
ENO1	9606.ENSP00000495530	3758
BASP1	9606.ENSP00000319281	3730
PKM	9606.ENSP00000320171	3724
TUBA8	9606.ENSP00000333326	3712
PRDX2	9606.ENSP00000301522	3584
STXBP1	9606.ENSP00000362399	3425
GNAO1	9606.ENSP00000262494	3318
YWHAG	9606.ENSP00000306330	3258
SNCB	9606.ENSP00000377296	3187
CALM3	9606.ENSP00000291295	3149
CALM2	9606.ENSP00000499797	3149
MDH2	9606.ENSP00000327070	3143
CALM1	9606.ENSP00000499717	3105
NEFM	9606.ENSP00000221166	3001
SNCA	9606.ENSP00000500990	2983
TMSB4X	9606.ENSP00000370010	2899
ENSP00000451560	9606.ENSP00000451560	2892
ALDOA	9606.ENSP00000496166	2886
CFL1	9606.ENSP00000432660	2822
VDAC1	9606.ENSP00000378487	2760
ACTC1	9606.ENSP00000290378	2670
TUBB6	9606.ENSP00000318697	2648
ACTA1	9606.ENSP00000355645	2639
GAP43	9606.ENSP00000377372	2620
SOD1	9606.ENSP00000270142	2611
LOC112694756	9606.ENSP00000485952	2602
SNAP25	9606.ENSP00000254976	2558
PRDX1	9606.ENSP00000262746	2514
SYN1	9606.ENSP00000295987	2513
INA	9606.ENSP00000358865	2465
HSPA8	9606.ENSP00000437125	2462
ACTA2	9606.ENSP00000224784	2457
YWHAB	9606.ENSP00000361930	2373
S100B	9606.ENSP00000291700	2372
ACTG2	9606.ENSP00000386857	2289
KRT2	9606.ENSP00000310861	2281
ATP1B1	9606.ENSP00000356790	2208
TPPP	9606.ENSP00000353785	2181
CAMK2A	9606.ENSP00000500386	2130
TPI1	9606.ENSP00000229270	2092
GNB1	9606.ENSP00000367872	2090
THY1	9606.ENSP00000284240	2088
COX4I1	9606.ENSP00000457513	2063
YWHAH	9606.ENSP00000248975	1964
PARK7	9606.ENSP00000340278	1924
UBA52	9606.ENSP00000388107	1915
HSPE1	9606.ENSP00000233893	1913
L7N2F9_HUMAN	9606.ENSP00000464383	1905
CD9	9606.ENSP00000371958	1904
VAMP2	9606.ENSP00000418572	1890
MT-CO2	9606.ENSP00000354876	1878
RPLP2	9606.ENSP00000431240	1847
PGK1	9606.ENSP00000362413	1755
EEF1A2	9606.ENSP00000217182	1753
GPM6A	9606.ENSP00000280187	1752
GOT2	9606.ENSP00000245206	1748
VDAC2	9606.ENSP00000361635	1743
PTGDS	9606.ENSP00000360687	1712
VSNL1	9606.ENSP00000384719	1709
TUBA4B	9606.ENSP00000487719	1709
PURA	9606.ENSP00000332706	1681
CLTA	9606.ENSP00000242285	1669
YWHAQ	9606.ENSP00000371267	1658
CALB1	9606.ENSP00000265431	1656
DBI	9606.ENSP00000486361	1650
EEF1A1	9606.ENSP00000339063	1642
ATP1A3	9606.ENSP00000444688	1605
VIM	9606.ENSP00000446007	1604
STMN1	9606.ENSP00000410452	1600
ACO2	9606.ENSP00000216254	1598
SYT1	9606.ENSP00000261205	1592
HSPD1	9606.ENSP00000340019	1579
DNM1	9606.ENSP00000362014	1571
TUBB8	9606.ENSP00000456206	1566
HOXB3	9606.ENSP00000417207	1556
TUBB8B	9606.ENSP00000496713	1550
STX1B	9606.ENSP00000215095	1537
CYCS	9606.ENSP00000307786	1531
NEFH	9606.ENSP00000311997	1518
HSP90AA1	9606.ENSP00000335153	1506
FTH1	9606.ENSP00000273550	1493
CTSD	9606.ENSP00000236671	1489
PEA15	9606.ENSP00000357055	1477
RPS27A	9606.ENSP00000272317	1467
GDI1	9606.ENSP00000394071	1465
SLC25A4	9606.ENSP00000281456	1427
HK1	9606.ENSP00000494664	1425
SNCG	9606.ENSP00000361087	1418
EEF1G	9606.ENSP00000331901	1399
ATP1A1	9606.ENSP00000445306	1390
SYN2	9606.ENSP00000480050	1385
SLC25A5	9606.ENSP00000360671	1379
GOT1	9606.ENSP00000359539	1344
FTL	9606.ENSP00000366525	1316
RAB33B	9606.ENSP00000306496	1315
LGALS1	9606.ENSP00000215909	1310
HSP90AB1	9606.ENSP00000360609	1302
SLC25A6	9606.ENSP00000370808	1291
ENO3	9606.ENSP00000324105	1287
ATP6V1E1	9606.ENSP00000253413	1282
PGAM1	9606.ENSP00000359991	1277
ATP5PD	9606.ENSP00000301587	1259
CLTC	9606.ENSP00000479606	1253
PRDX6	9606.ENSP00000342026	1248
SLC1A2	9606.ENSP00000278379	1248
ATP5PO	9606.ENSP00000290299	1224
SLC1A3	9606.ENSP00000265113	1222
HINT1	9606.ENSP00000304229	1222
